model,test,train
ARIMA,6.389980951124804,5.074176086569987
KNN,4.605555555555554,4.504794520547946
SGD,5143240147054.876,3855169661225.012
RandomForest,4.555047121088789,4.328355625538844
AdaBoost,4.624953670495581,4.655394612107728
GaussianProcess,4.4917449206113815,4.261867380305512
LinearRegression,6.198722459377031,5.709526446940836
FNN,15.293262823304133,14.549165898499172
RNNSingle,41.49063548757069,23.72616097320663
RNNMultiple,534.6071960661146,432.0231876813181
RNNAll,10365.542304144965,10331.62298333155
