model,test,train
ARIMA,6.389980951124804,5.074176086569987
KNN,4.605555555555554,4.504794520547946
SGD,4015913189663.259,3006303321228.149
RandomForest,4.453075260306621,4.323398082931248
AdaBoost,4.698850546741413,4.647501359710686
GaussianProcess,4.4917449206113815,4.261867380305512
LinearRegression,6.426865182341065,5.815438922136886
FNN,11.256594209110036,12.026298771301905
RNNSingle,22.61599910960478,16.55069613456726
RNNMultiple,79.942788388994,87.06256051912699
RNNAll,1036.48435804579,614.1466263418329
