model,test,train
ARIMA,6.389980951124804,5.074176086569987
KNN,14.052777777777777,4.174657534246575
SGD,4156010740825940.5,4154916668664873.0
RandomForest,9.511111111111111,1.707876712328767
AdaBoost,12.04556182742457,5.6196249635555
GaussianProcess,40.81425230909841,6.037112204365115e-09
LinearRegression,50.715889247068304,9.282260428247682
FNN,18.369888248728284,16.487292233244467
RNNSingle,16.485755066373454,16.680435433204998
RNNMultiple,1799.7007378472222,1778.6301637414383
RNNAll,9881.098849826389,9862.891828981165
