model,test,train
ARIMA,6.389980951124804,5.074176086569987
KNN,19.76111111111111,3.7109589041095896
SGD,21.555205631787615,15.215860044182566
RandomForest,10.784722222222221,1.5976027397260275
AdaBoost,11.63265522875817,5.560009575541686
GaussianProcess,73.3845272064209,4.269352965158959
LinearRegression,50.71588924733807,9.282260427951877
FNN,20.765626024844043,11.540567358196405
RNNSingle,7.21045627878673,24.16436485795609
RNNMultiple,591.7049107021755,885.1565220511123
RNNAll,2651.747149997287,2463.632240190898
