model,test,train
ARIMA,6.389980951124804,5.074176086569987
KNN,4.983333333333333,4.25
SGD,34814051702229.0,55499609145484.195
RandomForest,4.811111111111113,1.9962328767123283
AdaBoost,4.60888808364831,4.553462090324446
GaussianProcess,65.11438870903147,3.803619665807343e-09
LinearRegression,6.720458143188047,5.5076414004784136
FNN,17.57002172897111,16.55911088737461
RNNSingle,15.823301856197528,16.77741892744855
RNNMultiple,775.6168865627712,754.0495791500562
RNNAll,6258.844733344184,6236.089913982235
