model,test,train
ARIMA,6.389980951124804,5.074176086569987
KNN,14.508333333333333,3.904109589041096
SGD,13.942758104223342,10.822869897092515
RandomForest,4.805555555555555,2.0791095890410958
AdaBoost,4.762099435909645,4.507974239206693
GaussianProcess,141.82824664645725,3.26525101596362
LinearRegression,6.7204581431167005,5.507641400483264
FNN,9.70715394660608,7.361750057765415
RNNSingle,21.15770209013526,16.451283737342116
RNNMultiple,900.7773409552044,1136.5311185871697
RNNAll,801.5343363682429,353.69550373129647
