model,test,train
ARIMA,6.389980951124804,5.074176086569987
KNN,4.511111111111111,4.132876712328768
SGD,1800842263076.6462,1320442611337.812
RandomForest,4.736177248677247,2.046469341161122
AdaBoost,5.0648281570536255,4.483179324733244
GaussianProcess,31.91609885657797,0.3038709297521395
LinearRegression,6.329321072047435,5.5762441858479255
FNN,21.919240410648175,16.00977990020858
RNNSingle,19.03939386624009,16.463749423675004
RNNMultiple,31.761490907933975,39.532202766366204
RNNAll,93.06969554970662,67.15034957403597
