model,test,train
ARIMA,6.389980951124804,5.074176086569987
KNN,5.066666666666666,4.207534246575342
SGD,7.715979531106124,7.701774220639934
RandomForest,4.963111772486773,2.088375733855186
AdaBoost,5.138451001283075,4.442882384409008
GaussianProcess,25.380702548556858,3.7913437412209707
LinearRegression,6.329321072047432,5.5762441858479255
FNN,6.673231836575181,8.26386791156144
RNNSingle,7.448524702840777,21.113317376645185
RNNMultiple,867.0194445583555,1230.736254483053
RNNAll,1065.258453157213,472.6298287535367
