model,test,train
ARIMA,6.389980951124804,5.074176086569987
KNN,4.941666666666666,4.182876712328768
SGD,6.133510231123896,6.124799906853417
RandomForest,4.96111111111111,2.0946689497716897
AdaBoost,4.971895372879284,4.402859392776583
GaussianProcess,21.783313751220703,3.399012265140063
LinearRegression,6.241158743093176,5.578140522362851
FNN,7.751951416926597,8.034573306605376
RNNSingle,28.322262379660536,17.216656422365833
RNNMultiple,1643.360262129042,2172.932851688911
RNNAll,797.378543065654,280.3703532547575
