model,test,train
ARIMA,43.88078922462065,16.30197751864763
KNN,93.04922513311082,22.645952351242304
SGD,246.1350681069485,83.28809758901279
RandomForest,75.52503178107186,12.256727303048171
AdaBoost,84.28155619211773,19.58224592265251
GaussianProcess,59.04643312973176,22.663101729301104
RNNAll,134.82313998652506,29.55920201600486
LSTMAll,131.80008306949216,34.4119943093254
LinearRegression,44.88268208097501,21.717891139994318
FNN,71.03601309201775,22.724362327836275
RNNSingle,50.204569001825035,22.40740590121404
RNNMultiple,54.577814486543524,19.129005822817746
LSTMSingle,56.58044606852239,21.25573372924318
LSTMSingle,53.89613900891813,25.45688518942648
LSTMSingle,51.96847337418841,23.082867821234146
LSTMMultiple,46.442445867285464,22.119879074533614
RNNMultiple,50.22859256186082,21.45464155106554
RNNSingle,52.332394476261136,21.693592670047895
