model,test,train
ARIMA,9.669730568317023,8.124118755781323
KNN,5.578629859661879,5.642694391866354
SGD,1720564695620.4224,1361240487354.0837
RandomForest,5.675061135966196,5.489710627676524
AdaBoost,5.7544399677418205,5.8262593271566585
GaussianProcess,5.61206919340218,5.356656808124194
RNNAll,6.4983509521936735,6.658500170336185
LSTMAll,12.13682082115574,6.224091198949064
LinearRegression,5.52364819631106,5.693423462648144
FNN,19.590798382098537,18.4222005350693
RNNSingle,5.5756398148534245,7.21125967180754
RNNMultiple,6.505645154436162,6.632561181331728
LSTMSingle,5.652902857946154,5.470305019410476
LSTMMultiple,5.628425575194939,5.5831126847071975
