model,test,train
ARIMA,9.673560465667576,8.124120759243057
KNN,5.578629859661879,5.642694391866354
SGD,5013687997964.865,3960304177920.025
RandomForest,5.731525358769334,5.448427933206335
AdaBoost,5.801817377339293,5.82370723840363
GaussianProcess,5.612064722788344,5.356656765250375
RNNAll,6.371910759838454,6.627522056672126
LSTMAll,7.326818128561202,5.592430555735956
LinearRegression,5.52364819631106,5.693423462648143
FNN,22.731622639877177,18.25458674625173
RNNSingle,7.050200663371326,6.863884060867194
RNNMultiple,7.059656965351121,6.494673374468322
LSTMSingle,5.389156649721766,5.348511548773428
LSTMMultiple,5.551219641635557,5.611470209737606
