model,test,train
ARIMA,10.559022811442759,4215.44695587035
KNN,16.26244822350627,5.419108357948658
SGD,4886722017850957.0,4884528323288052.0
RandomForest,11.845715352912302,2.096126356989805
AdaBoost,18.331822851110346,6.585806251600962
GaussianProcess,43.30526806192989,8.238043197270633e-09
RNNAll,20.498926465480125,15.965759676234143
LSTMAll,24.498170241787083,19.621466486986204
LinearRegression,52.221267620579916,11.927425970181439
FNN,19.544982998093403,18.94057375922901
RNNSingle,21.153633323377125,18.87131225111096
RNNMultiple,22.321537468806948,19.165947097975668
LSTMSingle,20.38915616485166,18.88299412486834
LSTMMultiple,21.415770630260234,19.061533529911163
