model,test,train
ARIMA,9.95272619545662,9.9746618367456
KNN,22.609142693462157,4.7616018558544955
SGD,23.70482686931113,17.82816805029986
RandomForest,12.690082523153443,2.044782145026349
AdaBoost,15.354703249666324,6.6515092759415815
GaussianProcess,203.67434123441055,5.464553144724759
RNNAll,24.610620922393753,14.450285277606467
LSTMAll,24.362435717078466,16.734907277041387
LinearRegression,52.22126762062871,11.927425970126302
FNN,10.550537716606758,7.308234311273022
RNNSingle,19.019589980499987,6.606998670860849
RNNMultiple,23.227084170332027,7.91605891966678
LSTMSingle,7.480428996496692,6.225929896659521
LSTMMultiple,24.354304621449803,8.383390967031138
