model,test,train
ARIMA,7.03820373505605,14612.95940274041
KNN,6.252732735905691,5.438920450797482
SGD,3253012822205903.0,3265528967516755.0
RandomForest,5.953990258641679,2.641468143266171
AdaBoost,6.027101568971889,5.534147718282569
GaussianProcess,65.85306165322899,4.17017622459766e-09
RNNAll,20.140062840483303,19.016090800775448
LSTMAll,20.022232666701203,19.097041726644427
LinearRegression,5.746737536479586,5.523686435260684
FNN,27.57701647686273,20.15219373844225
RNNSingle,20.604457742552512,18.875854145826608
RNNMultiple,11.363910956349025,10.526931117475558
LSTMSingle,22.372167774466806,18.929922063309686
LSTMMultiple,19.319568386018037,19.14347418398099
