model,test,train
ARIMA,8.520359661551165,10.227335692698977
KNN,16.96629010715071,5.138614679535942
SGD,15.872472941768624,12.778963928509414
RandomForest,6.272249286429161,2.695344082874376
AdaBoost,5.88217556563692,5.47937546182599
GaussianProcess,313.88293712282723,4.351181432133941
RNNAll,11.317124689227374,6.100236300251276
LSTMAll,19.66313098932289,11.57563261972444
LinearRegression,5.7467375363569,5.523686435262074
FNN,8.218736942600033,5.615047082568077
RNNSingle,9.104456071054509,6.176127890300748
RNNMultiple,8.622833075047527,5.3336929268460995
LSTMSingle,5.410194253952063,4.727034322495815
LSTMMultiple,7.813249736967639,5.697781210517189
