model,test,train
ARIMA,14.988908573288349,10.89505389313358
KNN,5.510948698323689,5.297992876772936
SGD,4049969746355.621,3199492997724.954
RandomForest,5.9500691407468045,3.0395342774371263
AdaBoost,5.664095349914042,5.694592909149029
GaussianProcess,42.29476972646413,1.2554600447506414
RNNAll,7.2144431510219915,6.13256978501316
LSTMAll,11.401299467254216,6.145744054938363
LinearRegression,5.572764221426477,5.524216468169589
FNN,16.669556303318963,19.2965470120464
RNNSingle,5.897130844324904,6.3525455902318475
RNNMultiple,7.183028916434307,6.097918528517041
LSTMSingle,8.337673228462283,6.915678520464187
LSTMMultiple,7.368986499363353,5.741294128832571
