model,test,train
ARIMA,8.512265890299917,7.7547620661527255
KNN,6.372989879169745,5.382062610017123
SGD,8.787274443349359,9.262732303259812
RandomForest,5.612475596103909,2.907086240328747
AdaBoost,6.26464349763267,5.50237295129632
GaussianProcess,131.53490719365988,5.092497759553794
RNNAll,9.102251103459906,6.196637522863463
LSTMAll,11.324024553503977,9.81426635601333
LinearRegression,5.572764221426492,5.524216468169589
FNN,6.3968643240974625,5.944487990546692
RNNSingle,5.532175682483689,5.504958346817518
RNNMultiple,6.422632462012134,5.108593265990819
LSTMSingle,5.330766672106106,5.121835633228906
LSTMMultiple,7.050094204624142,5.749261647594078
