model,test,train
ARIMA,8.206562978860468,7.600270170475962
KNN,5.5319275322641595,5.226222542320186
SGD,16592548870537.045,13092215496441.986
RandomForest,6.036682059334733,3.024489966437789
AdaBoost,6.275988558607188,5.375407993365819
GaussianProcess,43.07021032617656,1.2554600444981565
RNNAll,11.92011090510489,11.134501300346896
LSTMAll,6.10001230739703,6.235325958649927
LinearRegression,5.525527869139471,5.473409004491405
FNN,17.607836543682268,19.183696082952316
RNNSingle,6.763969560409308,6.646067107808645
RNNMultiple,6.127016253812393,7.24114197145576
LSTMSingle,5.74592050630163,6.129909655075432
LSTMMultiple,5.735947507921364,5.092960987918035
