model,test,train
ARIMA,8.304869106313697,7.696998140070051
KNN,6.341266960684329,5.371030860886117
SGD,6.8996184672695815,7.6872089181760135
RandomForest,6.06971171544761,2.9715280082314055
AdaBoost,6.1298570659303975,5.602139478581147
GaussianProcess,86.09596078188696,4.634468639712515
RNNAll,9.610588636022012,7.5823237155539385
LSTMAll,10.22196444930366,9.214700545882632
LinearRegression,5.525527869139471,5.473409004491406
FNN,7.352504178303808,7.472770628257044
RNNSingle,6.3123052772724755,5.60856760429769
RNNMultiple,6.303429123128205,4.8526060424498425
LSTMSingle,6.072920283910943,4.971089373009161
LSTMMultiple,6.03911498595688,5.670276160333439
