model,test,train
ARIMA,12.979966855979352,10.908473342500939
KNN,8.693603970736186,5.776630994693616
SGD,16.75347776370959,14.212546958023825
RandomForest,8.992960311475809,4.889851819709246
AdaBoost,8.363294496977144,5.930201328131277
GaussianProcess,8.321100818229901,6.473566747346606
RNNAll,11.003028130747124,9.414245186911938
LSTMAll,15.069218651095051,12.144577363985476
LinearRegression,8.030075396526085,6.42739585737094
FNN,8.54071996896039,7.6515334472870205
RNNSingle,7.376459049030113,6.949150602498068
RNNMultiple,8.384252040902245,6.00617102469637
LSTMSingle,9.207658004431758,6.561026416258762
LSTMMultiple,8.083667557491811,7.2289735608675825
